symbol,date,price
Competition2,Jan-00,39.81
Competition2,Feb-00,36.35
Competition2,Mar-00,43.22
Competition2,Apr-00,28.37
Competition2,May-00,25.45
Competition2,Jun-00,32.54
Competition2,Jul-00,28.4
Competition2,Aug-00,28.4
Competition2,Sep-00,24.53
Competition2,Oct-00,28.02
Competition2,Nov-00,23.34
Competition2,Dec-00,17.65
Competition2,1-Jan,24.84
Competition2,1-Feb,24
Competition2,1-Mar,22.25
Competition2,1-Apr,27.56
Competition2,1-May,28.14
Competition2,1-Jun,29.7
Competition2,1-Jul,26.93
Competition2,1-Aug,23.21
Competition2,1-Sep,20.82
Competition2,1-Oct,23.65
Competition2,1-Nov,26.12
Competition2,1-Dec,26.95
Competition2,2-Jan,25.92
Competition2,2-Feb,23.73
Competition2,2-Mar,24.53
Competition2,2-Apr,21.26
Competition2,2-May,20.71
Competition2,2-Jun,22.25
Competition2,2-Jul,19.52
Competition2,2-Aug,19.97
Competition2,2-Sep,17.79
Competition2,2-Oct,21.75
Competition2,2-Nov,23.46
Competition2,2-Dec,21.03
Competition2,3-Jan,19.31
Competition2,3-Feb,19.34
Competition2,3-Mar,19.76
Competition2,3-Apr,20.87
Competition2,3-May,20.09
Competition2,3-Jun,20.93
Competition2,3-Jul,21.56
Competition2,3-Aug,21.65
Competition2,3-Sep,22.69
Competition2,3-Oct,21.45
Competition2,3-Nov,21.1
Competition2,3-Dec,22.46
Competition2,4-Jan,22.69
Competition2,4-Feb,21.77
Competition2,4-Mar,20.46
Competition2,4-Apr,21.45
Competition2,4-May,21.53
Competition2,4-Jun,23.44
Competition2,4-Jul,23.38
Competition2,4-Aug,22.47
Competition2,4-Sep,22.76
Competition2,4-Oct,23.02
Competition2,4-Nov,24.6
Competition2,4-Dec,24.52
Competition2,5-Jan,24.11
Competition2,5-Feb,23.15
Competition2,5-Mar,22.24
Competition2,5-Apr,23.28
Competition2,5-May,23.82
Competition2,5-Jun,22.93
Competition2,5-Jul,23.64
Competition2,5-Aug,25.35
Competition2,5-Sep,23.83
Competition2,5-Oct,23.8
Competition2,5-Nov,25.71
Competition2,5-Dec,24.29
Competition2,6-Jan,26.14
Competition2,6-Feb,25.04
Competition2,6-Mar,25.36
Competition2,6-Apr,22.5
Competition2,6-May,21.19
Competition2,6-Jun,21.8
Competition2,6-Jul,22.51
Competition2,6-Aug,24.13
Competition2,6-Sep,25.68
Competition2,6-Oct,26.96
Competition2,6-Nov,27.66
Competition2,6-Dec,28.13
Competition2,7-Jan,29.07
Competition2,7-Feb,26.63
Competition2,7-Mar,26.35
Competition2,7-Apr,28.3
Competition2,7-May,29.11
Competition2,7-Jun,27.95
Competition2,7-Jul,27.5
Competition2,7-Aug,27.34
Competition2,7-Sep,28.04
Competition2,7-Oct,35.03
Competition2,7-Nov,32.09
Competition2,7-Dec,34
Competition2,8-Jan,31.13
Competition2,8-Feb,26.07
Competition2,8-Mar,27.21
Competition2,8-Apr,27.34
Competition2,8-May,27.25
Competition2,8-Jun,26.47
Competition2,8-Jul,24.75
Competition2,8-Aug,26.36
Competition2,8-Sep,25.78
Competition2,8-Oct,21.57
Competition2,8-Nov,19.66
Competition2,8-Dec,18.91
Competition2,9-Jan,16.63
Competition2,9-Feb,15.81
Competition2,9-Mar,17.99
Competition2,9-Apr,19.84
Competition2,9-May,20.59
Competition2,9-Jun,23.42
Competition2,9-Jul,23.18
Competition2,9-Aug,24.43
Competition2,9-Sep,25.49
Competition2,9-Oct,27.48
Competition2,9-Nov,29.27
Competition2,9-Dec,30.34
Competition2,10-Jan,28.05
Competition2,10-Feb,28.67
Competition2,10-Mar,28.8
Competition3,Jan-00,64.56
Competition3,Feb-00,68.87
Competition3,Mar-00,67
Competition3,Apr-00,55.19
Competition3,May-00,48.31
Competition3,Jun-00,36.31
Competition3,Jul-00,30.12
Competition3,Aug-00,41.5
Competition3,Sep-00,38.44
Competition3,Oct-00,36.62
Competition3,Nov-00,24.69
Competition3,Dec-00,15.56
Competition3,1-Jan,17.31
Competition3,1-Feb,10.19
Competition3,1-Mar,10.23
Competition3,1-Apr,15.78
Competition3,1-May,16.69
Competition3,1-Jun,14.15
Competition3,1-Jul,12.49
Competition3,1-Aug,8.94
Competition3,1-Sep,5.97
Competition3,1-Oct,6.98
Competition3,1-Nov,11.32
Competition3,1-Dec,10.82
Competition3,2-Jan,14.19
Competition3,2-Feb,14.1
Competition3,2-Mar,14.3
Competition3,2-Apr,16.69
Competition3,2-May,18.23
Competition3,2-Jun,16.25
Competition3,2-Jul,14.45
Competition3,2-Aug,14.94
Competition3,2-Sep,15.93
Competition3,2-Oct,19.36
Competition3,2-Nov,23.35
Competition3,2-Dec,18.89
Competition3,3-Jan,21.85
Competition3,3-Feb,22.01
Competition3,3-Mar,26.03
Competition3,3-Apr,28.69
Competition3,3-May,35.89
Competition3,3-Jun,36.32
Competition3,3-Jul,41.64
Competition3,3-Aug,46.32
Competition3,3-Sep,48.43
Competition3,3-Oct,54.43
Competition3,3-Nov,53.97
Competition3,3-Dec,52.62
Competition3,4-Jan,50.4
Competition3,4-Feb,43.01
Competition3,4-Mar,43.28
Competition3,4-Apr,43.6
Competition3,4-May,48.5
Competition3,4-Jun,54.4
Competition3,4-Jul,38.92
Competition3,4-Aug,38.14
Competition3,4-Sep,40.86
Competition3,4-Oct,34.13
Competition3,4-Nov,39.68
Competition3,4-Dec,44.29
Competition3,5-Jan,43.22
Competition3,5-Feb,35.18
Competition3,5-Mar,34.27
Competition3,5-Apr,32.36
Competition3,5-May,35.51
Competition3,5-Jun,33.09
Competition3,5-Jul,45.15
Competition3,5-Aug,42.7
Competition3,5-Sep,45.3
Competition3,5-Oct,39.86
Competition3,5-Nov,48.46
Competition3,5-Dec,47.15
Competition3,6-Jan,44.82
Competition3,6-Feb,37.44
Competition3,6-Mar,36.53
Competition3,6-Apr,35.21
Competition3,6-May,34.61
Competition3,6-Jun,38.68
Competition3,6-Jul,26.89
Competition3,6-Aug,30.83
Competition3,6-Sep,32.12
Competition3,6-Oct,38.09
Competition3,6-Nov,40.34
Competition3,6-Dec,39.46
Competition3,7-Jan,37.67
Competition3,7-Feb,39.14
Competition3,7-Mar,39.79
Competition3,7-Apr,61.33
Competition3,7-May,69.14
Competition3,7-Jun,68.41
Competition3,7-Jul,78.54
Competition3,7-Aug,79.91
Competition3,7-Sep,93.15
Competition3,7-Oct,89.15
Competition3,7-Nov,90.56
Competition3,7-Dec,92.64
Competition3,8-Jan,77.7
Competition3,8-Feb,64.47
Competition3,8-Mar,71.3
Competition3,8-Apr,78.63
Competition3,8-May,81.62
Competition3,8-Jun,73.33
Competition3,8-Jul,76.34
Competition3,8-Aug,80.81
Competition3,8-Sep,72.76
Competition3,8-Oct,57.24
Competition3,8-Nov,42.7
Competition3,8-Dec,51.28
Competition3,9-Jan,58.82
Competition3,9-Feb,64.79
Competition3,9-Mar,73.44
Competition3,9-Apr,80.52
Competition3,9-May,77.99
Competition3,9-Jun,83.66
Competition3,9-Jul,85.76
Competition3,9-Aug,81.19
Competition3,9-Sep,93.36
Competition3,9-Oct,118.81
Competition3,9-Nov,135.91
Competition3,9-Dec,134.52
Competition3,10-Jan,125.41
Competition3,10-Feb,118.4
Competition3,10-Mar,128.82
Your Company,Jan-00,100.52
Your Company,Feb-00,92.11
Your Company,Mar-00,106.11
Your Company,Apr-00,99.95
Your Company,May-00,96.31
Your Company,Jun-00,98.33
Your Company,Jul-00,100.74
Your Company,Aug-00,118.62
Your Company,Sep-00,101.19
Your Company,Oct-00,88.5
Your Company,Nov-00,84.12
Your Company,Dec-00,76.47
Your Company,1-Jan,100.76
Your Company,1-Feb,89.98
Your Company,1-Mar,86.63
Your Company,1-Apr,103.7
Your Company,1-May,100.82
Your Company,1-Jun,102.35
Your Company,1-Jul,94.87
Your Company,1-Aug,90.25
Your Company,1-Sep,82.82
Your Company,1-Oct,97.58
Your Company,1-Nov,104.5
Your Company,1-Dec,109.36
Your Company,2-Jan,97.54
Your Company,2-Feb,88.82
Your Company,2-Mar,94.15
Your Company,2-Apr,75.82
Your Company,2-May,72.97
Your Company,2-Jun,65.31
Your Company,2-Jul,63.86
Your Company,2-Aug,68.52
Your Company,2-Sep,53.01
Your Company,2-Oct,71.76
Your Company,2-Nov,79.16
Your Company,2-Dec,70.58
Your Company,3-Jan,71.22
Your Company,3-Feb,71.13
Your Company,3-Mar,71.57
Your Company,3-Apr,77.47
Your Company,3-May,80.48
Your Company,3-Jun,75.42
Your Company,3-Jul,74.28
Your Company,3-Aug,75.12
Your Company,3-Sep,80.91
Your Company,3-Oct,81.96
Your Company,3-Nov,83.08
Your Company,3-Dec,85.05
Your Company,4-Jan,91.06
Your Company,4-Feb,88.7
Your Company,4-Mar,84.41
Your Company,4-Apr,81.04
Your Company,4-May,81.59
Your Company,4-Jun,81.19
Your Company,4-Jul,80.19
Your Company,4-Aug,78.17
Your Company,4-Sep,79.13
Your Company,4-Oct,82.84
Your Company,4-Nov,87.15
Your Company,4-Dec,91.16
Your Company,5-Jan,86.39
Your Company,5-Feb,85.78
Your Company,5-Mar,84.66
Your Company,5-Apr,70.77
Your Company,5-May,70.18
Your Company,5-Jun,68.93
Your Company,5-Jul,77.53
Your Company,5-Aug,75.07
Your Company,5-Sep,74.7
Your Company,5-Oct,76.25
Your Company,5-Nov,82.98
Your Company,5-Dec,76.73
Your Company,6-Jan,75.89
Your Company,6-Feb,75.09
Your Company,6-Mar,77.17
Your Company,6-Apr,77.05
Your Company,6-May,75.04
Your Company,6-Jun,72.15
Your Company,6-Jul,72.7
Your Company,6-Aug,76.35
Your Company,6-Sep,77.26
Your Company,6-Oct,87.06
Your Company,6-Nov,86.95
Your Company,6-Dec,91.9
Your Company,7-Jan,93.79
Your Company,7-Feb,88.18
Your Company,7-Mar,89.44
Your Company,7-Apr,96.98
Your Company,7-May,101.54
Your Company,7-Jun,100.25
Your Company,7-Jul,105.4
Your Company,7-Aug,111.54
Your Company,7-Sep,112.6
Your Company,7-Oct,111
Your Company,7-Nov,100.9
Your Company,7-Dec,103.7
Your Company,8-Jan,102.75
Your Company,8-Feb,109.64
Your Company,8-Mar,110.87
Your Company,8-Apr,116.23
Your Company,8-May,125.14
Your Company,8-Jun,114.6
Your Company,8-Jul,123.74
Your Company,8-Aug,118.16
Your Company,8-Sep,113.53
Your Company,8-Oct,90.24
Your Company,8-Nov,79.65
Your Company,8-Dec,82.15
Your Company,9-Jan,89.46
Your Company,9-Feb,90.32
Your Company,9-Mar,95.09
Your Company,9-Apr,101.29
Your Company,9-May,104.85
Your Company,9-Jun,103.01
Your Company,9-Jul,116.34
Your Company,9-Aug,117
Your Company,9-Sep,118.55
Your Company,9-Oct,119.54
Your Company,9-Nov,125.79
Your Company,9-Dec,130.32
Your Company,10-Jan,121.85
Your Company,10-Feb,127.16
Your Company,10-Mar,125.55
Competition1,Jan-00,25.94
Competition1,Feb-00,28.66
Competition1,Mar-00,33.95
Competition1,Apr-00,31.01
Competition1,May-00,21
Competition1,Jun-00,26.19
Competition1,Jul-00,25.41
Competition1,Aug-00,30.47
Competition1,Sep-00,12.88
Competition1,Oct-00,9.78
Competition1,Nov-00,8.25
Competition1,Dec-00,7.44
Competition1,1-Jan,10.81
Competition1,1-Feb,9.12
Competition1,1-Mar,11.03
Competition1,1-Apr,12.74
Competition1,1-May,9.98
Competition1,1-Jun,11.62
Competition1,1-Jul,9.4
Competition1,1-Aug,9.27
Competition1,1-Sep,7.76
Competition1,1-Oct,8.78
Competition1,1-Nov,10.65
Competition1,1-Dec,10.95
Competition1,2-Jan,12.36
Competition1,2-Feb,10.85
Competition1,2-Mar,11.84
Competition1,2-Apr,12.14
Competition1,2-May,11.65
Competition1,2-Jun,8.86
Competition1,2-Jul,7.63
Competition1,2-Aug,7.38
Competition1,2-Sep,7.25
Competition1,2-Oct,8.03
Competition1,2-Nov,7.75
Competition1,2-Dec,7.16
Competition1,3-Jan,7.18
Competition1,3-Feb,7.51
Competition1,3-Mar,7.07
Competition1,3-Apr,7.11
Competition1,3-May,8.98
Competition1,3-Jun,9.53
Competition1,3-Jul,10.54
Competition1,3-Aug,11.31
Competition1,3-Sep,10.36
Competition1,3-Oct,11.44
Competition1,3-Nov,10.45
Competition1,3-Dec,10.69
Competition1,4-Jan,11.28
Competition1,4-Feb,11.96
Competition1,4-Mar,13.52
Competition1,4-Apr,12.89
Competition1,4-May,14.03
Competition1,4-Jun,16.27
Competition1,4-Jul,16.17
Competition1,4-Aug,17.25
Competition1,4-Sep,19.38
Competition1,4-Oct,26.2
Competition1,4-Nov,33.53
Competition1,4-Dec,32.2
Competition1,5-Jan,38.45
Competition1,5-Feb,44.86
Competition1,5-Mar,41.67
Competition1,5-Apr,36.06
Competition1,5-May,39.76
Competition1,5-Jun,36.81
Competition1,5-Jul,42.65
Competition1,5-Aug,46.89
Competition1,5-Sep,53.61
Competition1,5-Oct,57.59
Competition1,5-Nov,67.82
Competition1,5-Dec,71.89
Competition1,6-Jan,75.51
Competition1,6-Feb,68.49
Competition1,6-Mar,62.72
Competition1,6-Apr,70.39
Competition1,6-May,59.77
Competition1,6-Jun,57.27
Competition1,6-Jul,67.96
Competition1,6-Aug,67.85
Competition1,6-Sep,76.98
Competition1,6-Oct,81.08
Competition1,6-Nov,91.66
Competition1,6-Dec,84.84
Competition1,7-Jan,85.73
Competition1,7-Feb,84.61
Competition1,7-Mar,92.91
Competition1,7-Apr,99.8
Competition1,7-May,121.19
Competition1,7-Jun,122.04
Competition1,7-Jul,131.76
Competition1,7-Aug,138.48
Competition1,7-Sep,153.47
Competition1,7-Oct,189.95
Competition1,7-Nov,182.22
Competition1,7-Dec,198.08
Competition1,8-Jan,135.36
Competition1,8-Feb,125.02
Competition1,8-Mar,143.5
Competition1,8-Apr,173.95
Competition1,8-May,188.75
Competition1,8-Jun,167.44
Competition1,8-Jul,158.95
Competition1,8-Aug,169.53
Competition1,8-Sep,113.66
Competition1,8-Oct,107.59
Competition1,8-Nov,92.67
Competition1,8-Dec,85.35
Competition1,9-Jan,90.13
Competition1,9-Feb,89.31
Competition1,9-Mar,105.12
Competition1,9-Apr,125.83
Competition1,9-May,135.81
Competition1,9-Jun,142.43
Competition1,9-Jul,163.39
Competition1,9-Aug,168.21
Competition1,9-Sep,185.35
Competition1,9-Oct,188.5
Competition1,9-Nov,199.91
Competition1,9-Dec,210.73
Competition1,10-Jan,192.06
Competition1,10-Feb,204.62
Competition1,10-Mar,223.02
